      r(A)     UBO(cm-1)        u(cm-1)      du(cm-1)         q        dq

    0.1000  26457998.94242  -205137.94861  -135268.64731  -3.70248  -0.68089
    0.1498  13331375.81613  -205124.43827  -135259.78928  -3.65739  -0.67260
    0.1997   8199441.03826  -205069.75782  -135227.33573  -3.59613  -0.66133
    0.2495   5632254.75046  -204872.98124  -135142.64990  -3.52033  -0.64740
    0.2993   4070173.22701  -204253.81942  -134964.59344  -3.43185  -0.63115
    0.3492   2987144.24436  -202691.71521  -134637.62950  -3.33267  -0.61297
    0.3990   2184717.02632  -199489.21088  -134084.14322  -3.22482  -0.59325
    0.4488   1576533.15530  -193920.49242  -133193.22513  -3.11052  -0.57239
    0.4987   1116025.76922  -185402.49403  -131811.03485  -2.99219  -0.55075
    0.5485    771326.51318  -173647.02422  -129738.79008  -2.87261  -0.52866
    0.5983    516964.19031  -158764.47292  -126744.32450  -2.75487  -0.50641
    0.6482    331664.11765  -141293.67948  -122590.98806  -2.64230  -0.48426
    0.6980    198050.60767  -122141.12511  -117082.61904  -2.53830  -0.46241
    0.7478    102542.80028  -102432.35100  -110116.04602  -2.44607  -0.44105
    0.7977     34933.74883   -83306.68848  -101725.89531  -2.36836  -0.42029
    0.8475    -12273.56377   -65711.00264   -92104.74423  -2.30729  -0.40023
    0.8973    -44548.96062   -50253.47236   -81587.95605  -2.26417  -0.38096
    0.9472    -65894.66940   -37156.77154   -70605.26746  -2.23945  -0.36250
    0.9970    -79255.08119   -26310.63806   -59613.85134  -2.23272  -0.34489
    1.0468    -86806.53927   -17388.27266   -49033.09507  -2.24282  -0.32813
    1.0967    -90163.27268    -9977.10717   -39197.49970  -2.26796  -0.31221
    1.1465    -90525.44378    -3684.16492   -30334.61492  -2.30585  -0.29714
    1.1963    -88786.37467     1802.10783   -22565.67404  -2.35397  -0.28287
    1.2462    -85610.67291     6691.76966   -15921.38617  -2.40962  -0.26938
    1.2960    -81491.55790    11102.41635   -10364.55921  -2.47016  -0.25664
    1.3458    -76793.27196    15082.68103    -5813.15641  -2.53306  -0.24463
    1.3957    -71782.74117    18638.78257    -2160.09212  -2.59605  -0.23329
    1.4455    -66653.42973    21757.40766      711.65422  -2.65714  -0.22260
    1.4953    -61543.45901    24422.22041     2918.57610  -2.71465  -0.21252
    1.5452    -56549.44893    26623.88192     4570.09223  -2.76724  -0.20301
    1.5950    -51737.11645    28364.74720     5764.96522  -2.81390  -0.19405
    1.6448    -47149.37907    29659.79760     6589.79559  -2.85390  -0.18559
    1.6946    -42812.51647    30535.26421     7118.86585  -2.88678  -0.17762
    1.7445    -38740.81391    31026.08871     7414.79403  -2.91234  -0.17009
    1.7943    -34940.02291    31173.02184     7529.61887  -2.93056  -0.16298
    1.8441    -31409.90822    31019.85643     7506.06707  -2.94156  -0.15626
    1.8940    -28146.09555    30611.06133     7378.84655  -2.94563  -0.14992
    1.9438    -25141.38696    29989.92222     7175.87489  -2.94311  -0.14392
    1.9936    -22386.67366    29197.19520     6919.39545  -2.93444  -0.13824
    2.0435    -19871.54890    28270.22252     6626.96129  -2.92009  -0.13287
    2.0933    -17584.70531    27242.43410     6312.28406  -2.90056  -0.12778
    2.1431    -15514.18740    26143.15204     5985.95457  -2.87637  -0.12296
    2.1930    -13647.55756    24997.61971     5656.04670  -2.84800  -0.11838
    2.2428    -11972.02049    23827.18745     5328.61847  -2.81597  -0.11404
    2.2926    -10474.53708    22649.59899     5008.12440  -2.78074  -0.10992
    2.3425     -9141.94479    21479.33511     4697.75224  -2.74275  -0.10601
    2.3923     -7961.09066    20327.98176     4399.69648  -2.70243  -0.10229
    2.4421     -6918.97413    19204.59939     4115.37907  -2.66016  -0.09875
    2.4920     -6002.89241    18116.07768     3845.62671  -2.61630  -0.09538
    2.5418     -5200.57934    17067.46565     3590.81254  -2.57118  -0.09218
    2.5916     -4500.32901    16062.27160     3350.96872  -2.52509  -0.08912
    2.6415     -3891.09802    15102.73047     3125.87549  -2.47830  -0.08621
    2.6913     -3362.58222    14190.03844     2915.13127  -2.43104  -0.08343
    2.7411     -2905.26706    13324.55592     2718.20734  -2.38353  -0.08077
    2.7910     -2510.45235    12505.98128     2534.49035  -2.33595  -0.07824
    2.8408     -2170.25413    11733.49785     2363.31510  -2.28846  -0.07582
    2.8906     -1877.58718    11005.89706     2203.98938  -2.24120  -0.07351
    2.9405     -1626.13229    10321.68071     2055.81284  -2.19431  -0.07129
    2.9903     -1410.29217     9679.14497     1918.09088  -2.14789  -0.06917
    3.0401     -1225.13978     9076.44888     1790.14477  -2.10202  -0.06714
    3.0900     -1066.36236     8511.66943     1671.31886  -2.05679  -0.06520
    3.1398      -930.20374     7982.84550     1560.98533  -2.01225  -0.06333
    3.1896      -813.40716     7488.01244     1458.54736  -1.96847  -0.06155
    3.2395      -713.15998     7025.22877     1363.44078  -1.92548  -0.05983
    3.2893      -627.04162     6592.59655     1275.13480  -1.88332  -0.05818
    3.3391      -552.97523     6188.27638     1193.13195  -1.84201  -0.05660
    3.3890      -489.18356     5810.49819     1116.96742  -1.80158  -0.05508
    3.4388      -434.14916     5457.56856     1046.20809  -1.76203  -0.05362
    3.4886      -386.57885     5127.87527      980.45121  -1.72338  -0.05222
    3.5385      -345.37225     4819.88966      919.32298  -1.68563  -0.05086
    3.5883      -309.59424     4532.16733      862.47692  -1.64878  -0.04956
    3.6381      -278.45083     4263.34745      809.59231  -1.61282  -0.04831
    3.6880      -251.26834     4012.15113      760.37254  -1.57775  -0.04710
    3.7378      -227.47534     3777.37899      714.54353  -1.54357  -0.04594
    3.7876      -206.58725     3557.90832      671.85217  -1.51024  -0.04481
    3.8375      -188.19304     3352.68970      632.06482  -1.47778  -0.04373
    3.8873      -171.94395     3160.74355      594.96590  -1.44616  -0.04269
    3.9371      -157.54391     2981.15647      560.35655  -1.41536  -0.04168
    3.9870      -144.74136     2813.07754      528.05333  -1.38537  -0.04070
    4.0368      -133.32233     2655.71469      497.88708  -1.35618  -0.03976
    4.0866      -123.10463     2508.33107      469.70178  -1.32776  -0.03885
    4.1365      -113.93288     2370.24156      443.35353  -1.30010  -0.03797
    4.1863      -105.67440     2240.80942      418.70958  -1.27318  -0.03712
    4.2361       -98.21564     2119.44307      395.64747  -1.24697  -0.03630
    4.2860       -91.45928     2005.59298      374.05418  -1.22147  -0.03550
    4.3358       -85.32170     1898.74880      353.82540  -1.19665  -0.03473
    4.3856       -79.73092     1798.43660      334.86483  -1.17250  -0.03399
    4.4355       -74.62481     1704.21631      317.08352  -1.14899  -0.03327
    4.4853       -69.94962     1615.67929      300.39929  -1.12611  -0.03256
    4.5351       -65.65875     1532.44603      284.73619  -1.10384  -0.03189
    4.5849       -61.71163     1454.16409      270.02400  -1.08217  -0.03123
    4.6348       -58.07291     1380.50611      256.19779  -1.06107  -0.03059
    4.6846       -54.71167     1311.16796      243.19745  -1.04053  -0.02997
    4.7344       -51.60077     1245.86706      230.96736  -1.02053  -0.02937
    4.7843       -48.71635     1184.34078      219.45599  -1.00105  -0.02879
    4.8341       -46.03736     1126.34495      208.61561  -0.98209  -0.02822
    4.8839       -43.54518     1071.65257      198.40198  -0.96363  -0.02767
    4.9338       -41.22328     1020.05246      188.77407  -0.94564  -0.02714
    4.9836       -39.05694      971.34817      179.69381  -0.92812  -0.02662
    5.0334       -37.03304      925.35683      171.12586  -0.91106  -0.02611
    5.0833       -35.13983      881.90821      163.03740  -0.89443  -0.02562
    5.1331       -33.36678      840.84377      155.39795  -0.87822  -0.02515
    5.1829       -31.70439      802.01578      148.17916  -0.86243  -0.02468
    5.2328       -30.14412      765.28658      141.35468  -0.84704  -0.02423
    5.2826       -28.67822      730.52782      134.89997  -0.83203  -0.02379
    5.3324       -27.29969      697.61979      128.79222  -0.81740  -0.02336
    5.3823       -26.00216      666.45078      123.01014  -0.80314  -0.02295
    5.4321       -24.77982      636.91653      117.53394  -0.78923  -0.02254
    5.4819       -23.62740      608.91968      112.34513  -0.77566  -0.02215
    5.5318       -22.54004      582.36930      107.42648  -0.76242  -0.02176
    5.5816       -21.51333      557.18038      102.76193  -0.74951  -0.02139
    5.6314       -20.54320      533.27347       98.33645  -0.73690  -0.02102
    5.6813       -19.62592      510.57426       94.13603  -0.72461  -0.02067
    5.7311       -18.75804      489.01321       90.14757  -0.71260  -0.02032
    5.7809       -17.93640      468.52523       86.35881  -0.70088  -0.01998
    5.8308       -17.15806      449.04938       82.75830  -0.68944  -0.01965
    5.8806       -16.42032      430.52856       79.33533  -0.67827  -0.01933
    5.9304       -15.72068      412.90926       76.07984  -0.66736  -0.01901
    5.9803       -15.05682      396.14132       72.98243  -0.65670  -0.01871
    6.0301       -14.42656      380.17767       70.03431  -0.64629  -0.01841
    6.0799       -13.82792      364.97418       67.22720  -0.63611  -0.01811
    6.1298       -13.25903      350.48939       64.55335  -0.62617  -0.01783
    6.1796       -12.71815      336.68438       62.00551  -0.61646  -0.01755
    6.2294       -12.20367      323.52259       59.57684  -0.60696  -0.01728
    6.2793       -11.71408      310.96965       57.26094  -0.59768  -0.01701
    6.3291       -11.24797      298.99326       55.05178  -0.58860  -0.01675
    6.3789       -10.80402      287.56303       52.94370  -0.57972  -0.01650
    6.4288       -10.38100      276.65036       50.93138  -0.57104  -0.01625
    6.4786        -9.97777      266.22833       49.00981  -0.56254  -0.01600
    6.5284        -9.59324      256.27161       47.17429  -0.55423  -0.01577
    6.5783        -9.22640      246.75631       45.42036  -0.54610  -0.01553
    6.6281        -8.87631      237.65994       43.74386  -0.53815  -0.01531
    6.6779        -8.54207      228.96128       42.14084  -0.53036  -0.01508
    6.7278        -8.22285      220.64032       40.60759  -0.52274  -0.01487
    6.7776        -7.91787      212.67819       39.14061  -0.51528  -0.01465
    6.8274        -7.62639      205.05708       37.73660  -0.50798  -0.01444
    6.8773        -7.34770      197.76017       36.39243  -0.50082  -0.01424
    6.9271        -7.08117      190.77156       35.10517  -0.49382  -0.01404
    6.9769        -6.82617      184.07626       33.87204  -0.48695  -0.01384
    7.0268        -6.58212      177.66008       32.69041  -0.48023  -0.01365
    7.0766        -6.34848      171.50959       31.55779  -0.47365  -0.01346
    7.1264        -6.12474      165.61212       30.47184  -0.46719  -0.01328
    7.1763        -5.91040      159.95566       29.43033  -0.46087  -0.01310
    7.2261        -5.70501      154.52885       28.43117  -0.45467  -0.01292
    7.2759        -5.50813      149.32092       27.47237  -0.44860  -0.01275
    7.3258        -5.31936      144.32170       26.55205  -0.44264  -0.01258
    7.3756        -5.13831      139.52152       25.66841  -0.43680  -0.01241
    7.4254        -4.96460      134.91123       24.81977  -0.43108  -0.01225
    7.4753        -4.79791      130.48217       24.00453  -0.42546  -0.01209
    7.5251        -4.63789      126.22610       23.22116  -0.41995  -0.01193
    7.5749        -4.48423      122.13522       22.46823  -0.41455  -0.01178
    7.6247        -4.33665      118.20211       21.74437  -0.40925  -0.01163
    7.6746        -4.19486      114.41975       21.04828  -0.40405  -0.01148
    7.7244        -4.05861      110.78146       20.37872  -0.39895  -0.01134
    7.7742        -3.92764      107.28090       19.73453  -0.39394  -0.01119
    7.8241        -3.80170      103.91203       19.11460  -0.38903  -0.01105
    7.8739        -3.68059      100.66913       18.51787  -0.38420  -0.01092
    7.9237        -3.56408       97.54675       17.94333  -0.37947  -0.01078
    7.9736        -3.45197       94.53971       17.39003  -0.37482  -0.01065
    8.0234        -3.34407       91.64308       16.85705  -0.37026  -0.01052
    8.0732        -3.24020       88.85217       16.34355  -0.36577  -0.01039
    8.1231        -3.14017       86.16251       15.84868  -0.36137  -0.01027
    8.1729        -3.04383       83.56987       15.37167  -0.35705  -0.01014
    8.2227        -2.95102       81.07017       14.91178  -0.35280  -0.01002
    8.2726        -2.86158       78.65957       14.46828  -0.34863  -0.00990
    8.3224        -2.77538       76.33440       14.04051  -0.34453  -0.00979
    8.3722        -2.69228       74.09114       13.62781  -0.34050  -0.00967
    8.4221        -2.61215       71.92645       13.22958  -0.33654  -0.00956
    8.4719        -2.53487       69.83715       12.84522  -0.33265  -0.00945
    8.5217        -2.46032       67.82020       12.47418  -0.32883  -0.00934
    8.5716        -2.38838       65.87269       12.11591  -0.32507  -0.00923
    8.6214        -2.31895       63.99186       11.76992  -0.32137  -0.00913
    8.6712        -2.25194       62.17506       11.43571  -0.31774  -0.00903
    8.7211        -2.18723       60.41976       11.11282  -0.31417  -0.00892
    8.7709        -2.12475       58.72356       10.80080  -0.31066  -0.00882
    8.8207        -2.06440       57.08414       10.49923  -0.30720  -0.00873
    8.8706        -2.00609       55.49931       10.20771  -0.30380  -0.00863
    8.9204        -1.94975       53.96696        9.92584  -0.30046  -0.00854
    8.9702        -1.89530       52.48507        9.65325  -0.29718  -0.00844
    9.0201        -1.84267       51.05171        9.38960  -0.29394  -0.00835
    9.0699        -1.79178       49.66506        9.13454  -0.29076  -0.00826
    9.1197        -1.74256       48.32333        8.88774  -0.28763  -0.00817
    9.1696        -1.69497       47.02485        8.64890  -0.28455  -0.00808
    9.2194        -1.64892       45.76799        8.41772  -0.28152  -0.00800
    9.2692        -1.60437       44.55122        8.19391  -0.27854  -0.00791
    9.3191        -1.56126       43.37304        7.97720  -0.27560  -0.00783
    9.3689        -1.51953       42.23204        7.76733  -0.27271  -0.00775
    9.4187        -1.47913       41.12686        7.56405  -0.26987  -0.00767
    9.4686        -1.44002       40.05619        7.36712  -0.26706  -0.00759
    9.5184        -1.40214       39.01878        7.17631  -0.26431  -0.00751
    9.5682        -1.36545       38.01344        6.99140  -0.26159  -0.00743
    9.6181        -1.32991       37.03902        6.81218  -0.25892  -0.00735
    9.6679        -1.29547       36.09440        6.63843  -0.25628  -0.00728
    9.7177        -1.26210       35.17854        6.46998  -0.25369  -0.00721
    9.7676        -1.22975       34.29042        6.30663  -0.25114  -0.00713
    9.8174        -1.19840       33.42907        6.14821  -0.24862  -0.00706
    9.8672        -1.16800       32.59354        5.99453  -0.24614  -0.00699
    9.9171        -1.13852       31.78294        5.84544  -0.24370  -0.00692
    9.9669        -1.10993       30.99640        5.70078  -0.24129  -0.00685
   10.0167        -1.08220       30.23311        5.56039  -0.23892  -0.00679
   10.0666        -1.05529       29.49225        5.42413  -0.23658  -0.00672
   10.1164        -1.02919       28.77307        5.29186  -0.23428  -0.00665
   10.1662        -1.00385       28.07483        5.16344  -0.23201  -0.00659
   10.2161        -0.97926       27.39682        5.03874  -0.22978  -0.00653
   10.2659        -0.95539       26.73836        4.91763  -0.22757  -0.00646
   10.3157        -0.93222       26.09880        4.80000  -0.22540  -0.00640
   10.3656        -0.90972       25.47751        4.68573  -0.22326  -0.00634
   10.4154        -0.88786       24.87387        4.57471  -0.22115  -0.00628
   10.4652        -0.86664       24.28732        4.46683  -0.21906  -0.00622
   10.5151        -0.84602       23.71728        4.36199  -0.21701  -0.00616
   10.5649        -0.82598       23.16322        4.26009  -0.21499  -0.00611
   10.6147        -0.80652       22.62462        4.16103  -0.21299  -0.00605
   10.6645        -0.78760       22.10098        4.06472  -0.21102  -0.00599
   10.7144        -0.76921       21.59181        3.97108  -0.20908  -0.00594
   10.7642        -0.75134       21.09665        3.88001  -0.20717  -0.00588
   10.8140        -0.73396       20.61506        3.79143  -0.20528  -0.00583
   10.8639        -0.71706       20.14659        3.70527  -0.20342  -0.00578
   10.9137        -0.70062       19.69084        3.62145  -0.20158  -0.00573
   10.9635        -0.68464       19.24741        3.53990  -0.19976  -0.00567
   11.0134        -0.66909       18.81591        3.46054  -0.19798  -0.00562
   11.0632        -0.65397       18.39596        3.38330  -0.19621  -0.00557
   11.1130        -0.63925       17.98720        3.30812  -0.19447  -0.00552
   11.1629        -0.62493       17.58930        3.23494  -0.19275  -0.00547
   11.2127        -0.61099       17.20191        3.16370  -0.19105  -0.00543
   11.2625        -0.59743       16.82472        3.09432  -0.18938  -0.00538
   11.3124        -0.58422       16.45740        3.02677  -0.18773  -0.00533
   11.3622        -0.57136       16.09967        2.96097  -0.18610  -0.00529
   11.4120        -0.55884       15.75123        2.89689  -0.18449  -0.00524
   11.4619        -0.54665       15.41179        2.83446  -0.18290  -0.00520
   11.5117        -0.53478       15.08110        2.77364  -0.18133  -0.00515
   11.5615        -0.52321       14.75889        2.71438  -0.17978  -0.00511
   11.6114        -0.51195       14.44490        2.65663  -0.17826  -0.00506
   11.6612        -0.50097       14.13889        2.60035  -0.17675  -0.00502
   11.7110        -0.49028       13.84062        2.54550  -0.17526  -0.00498
   11.7609        -0.47985       13.54988        2.49203  -0.17379  -0.00494
   11.8107        -0.46970       13.26643        2.43990  -0.17233  -0.00489
   11.8605        -0.45980       12.99007        2.38907  -0.17090  -0.00485
   11.9104        -0.45015       12.72059        2.33951  -0.16948  -0.00481
   11.9602        -0.44074       12.45779        2.29117  -0.16808  -0.00477
   12.0100        -0.43156       12.20148        2.24403  -0.16670  -0.00473
   12.0599        -0.42262       11.95147        2.19805  -0.16533  -0.00470
   12.1097        -0.41390       11.70758        2.15320  -0.16398  -0.00466
   12.1595        -0.40539       11.46964        2.10944  -0.16265  -0.00462
   12.2094        -0.39709       11.23748        2.06674  -0.16134  -0.00458
   12.2592        -0.38899       11.01093        2.02507  -0.16004  -0.00455
   12.3090        -0.38109       10.78985        1.98441  -0.15875  -0.00451
   12.3589        -0.37339       10.57406        1.94473  -0.15748  -0.00447
   12.4087        -0.36587       10.36344        1.90599  -0.15623  -0.00444
   12.4585        -0.35853       10.15783        1.86818  -0.15499  -0.00440
   12.5084        -0.35136        9.95710        1.83126  -0.15376  -0.00437
   12.5582        -0.34437        9.76111        1.79521  -0.15255  -0.00433
   12.6080        -0.33754        9.56972        1.76001  -0.15136  -0.00430
   12.6579        -0.33088        9.38283        1.72564  -0.15018  -0.00427
   12.7077        -0.32437        9.20029        1.69207  -0.14901  -0.00423
   12.7575        -0.31802        9.02201        1.65928  -0.14785  -0.00420
   12.8074        -0.31181        8.84785        1.62725  -0.14671  -0.00417
   12.8572        -0.30575        8.67771        1.59596  -0.14558  -0.00414
   12.9070        -0.29983        8.51148        1.56539  -0.14447  -0.00410
   12.9569        -0.29405        8.34906        1.53551  -0.14336  -0.00407
   13.0067        -0.28840        8.19034        1.50632  -0.14227  -0.00404
   13.0565        -0.28288        8.03523        1.47780  -0.14120  -0.00401
   13.1064        -0.27749        7.88363        1.44992  -0.14013  -0.00398
   13.1562        -0.27222        7.73545        1.42266  -0.13908  -0.00395
   13.2060        -0.26707        7.59060        1.39602  -0.13804  -0.00392
   13.2559        -0.26204        7.44899        1.36998  -0.13701  -0.00389
   13.3057        -0.25712        7.31054        1.34452  -0.13599  -0.00386
   13.3555        -0.25231        7.17517        1.31962  -0.13498  -0.00383
   13.4054        -0.24760        7.04280        1.29527  -0.13398  -0.00381
   13.4552        -0.24301        6.91334        1.27146  -0.13300  -0.00378
   13.5050        -0.23851        6.78673        1.24818  -0.13203  -0.00375
   13.5548        -0.23411        6.66289        1.22540  -0.13106  -0.00372
   13.6047        -0.22982        6.54175        1.20312  -0.13011  -0.00370
   13.6545        -0.22561        6.42325        1.18133  -0.12917  -0.00367
   13.7043        -0.22150        6.30731        1.16001  -0.12823  -0.00364
   13.7542        -0.21748        6.19388        1.13915  -0.12731  -0.00362
   13.8040        -0.21354        6.08288        1.11873  -0.12640  -0.00359
   13.8538        -0.20969        5.97427        1.09876  -0.12549  -0.00356
   13.9037        -0.20592        5.86797        1.07921  -0.12460  -0.00354
   13.9535        -0.20224        5.76393        1.06007  -0.12372  -0.00351
   14.0033        -0.19863        5.66210        1.04134  -0.12284  -0.00349
   14.0532        -0.19510        5.56242        1.02301  -0.12198  -0.00346
   14.1030        -0.19164        5.46484        1.00506  -0.12112  -0.00344
   14.1528        -0.18826        5.36931        0.98749  -0.12027  -0.00342
   14.2027        -0.18495        5.27577        0.97029  -0.11944  -0.00339
   14.2525        -0.18171        5.18418        0.95345  -0.11861  -0.00337
   14.3023        -0.17853        5.09449        0.93695  -0.11778  -0.00335
   14.3522        -0.17543        5.00666        0.92080  -0.11697  -0.00332
   14.4020        -0.17238        4.92064        0.90498  -0.11617  -0.00330
   14.4518        -0.16941        4.83639        0.88948  -0.11537  -0.00328
   14.5017        -0.16649        4.75386        0.87430  -0.11458  -0.00325
   14.5515        -0.16363        4.67301        0.85944  -0.11380  -0.00323
   14.6013        -0.16083        4.59381        0.84487  -0.11303  -0.00321
   14.6512        -0.15809        4.51622        0.83060  -0.11227  -0.00319
   14.7010        -0.15540        4.44019        0.81662  -0.11151  -0.00317
   14.7508        -0.15277        4.36570        0.80292  -0.11076  -0.00315
   14.8007        -0.15019        4.29270        0.78949  -0.11002  -0.00313
   14.8505        -0.14767        4.22115        0.77633  -0.10929  -0.00310
   14.9003        -0.14519        4.15104        0.76344  -0.10856  -0.00308
   14.9502        -0.14277        4.08232        0.75080  -0.10784  -0.00306
   15.0000        -0.14039        4.01495        0.73841  -0.10713  -0.00304
