,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,52,2000.052539,1.353e-29,4.415e+01.0567.0620,4448.30300.74-.002750,3,2,P,12,467665,5,8,2,2,1,7,46.0,50.0
1,52,2000.299249,6.082e-26,2.909e+01.0527.0570,2718.40470.68-.002855,2,1,P,18,477665,5,8,2,2,1,7,70.0,74.0
2,53,2000.420479,2.8339999999999998e-30,4.426e+01.0573.0630,4396.32360.75-.002700,3,2,P,11,467665,5,8,2,2,1,7,21.0,23.0
3,53,2000.8880600000002,1.4430000000000002e-26,2.910e+01.0535.0580,2646.90500.69-.002790,2,1,P,17,477665,5,8,2,2,1,7,33.0,35.0
4,54,2001.2378030000002,4.963e-28,2.928e+01.0491.0530,3054.50990.67-.003350,2,1,P,22,477623,5,8,2,2,1,1,258.0,270.0
5,54,2001.9014730000001,1.7559999999999998e-31,4.424e+01.0542.0590,4706.90510.70-.002863,3,2,P,16,467665,5,8,2,2,1,7,186.0,198.0
6,55,2002.0258399999998,6.482e-28,3.070e+01.0650.0730,2095.62500.74-.003310,2,1,P,5,477663,5,8,2,2,1,1,18.0,22.0
7,51,2002.1149850000002,1.3220000000000002e-25,2.960e+01.0457.0470,3579.97510.67-.003500,2,1,P,27,476623,5,8,2,2,1,1,53.0,55.0
8,56,2003.0855969999998,1.0060000000000001e-28,2.934e+01.0573.0630,2302.48610.75-.003620,2,1,P,11,477663,5,8,2,2,1,1,252.0,276.0
9,56,2003.442818,3.9550000000000003e-25,1.446e+01.0535.0580,547.05940.69-.003350,1,0,P,17,477663,5,8,2,2,1,1,396.0,420.0
10,52,2003.514971,1.5530000000000003e-22,1.455e+01.0483.0520,1012.85700.67-.002823,1,0,P,23,477625,5,8,2,2,1,7,90.0,94.0
11,55,2003.6313440000001,6.185e-24,1.453e+01.0573.0630,230.43790.75-.003620,1,0,P,11,477663,5,8,2,2,1,1,42.0,46.0
12,51,2003.6679809999998,1.5180000000000002e-22,1.482e+01.0430.0420,2023.37150.67-.003500,1,0,P,32,476623,5,8,2,2,1,1,63.0,65.0
13,54,2003.7352329999999,8.901e-25,1.466e+01.0457.0470,1413.39470.67-.003500,1,0,P,27,476623,5,8,2,2,1,1,318.0,330.0
14,51,2003.977307,8.196e-29,4.465e+01.0500.0540,5130.79260.67-.003217,3,2,P,21,467665,5,8,2,2,1,7,41.0,43.0
15,52,2004.014005,1.533e-29,4.459e+01.0573.0630,4405.01550.75-.002700,3,2,P,11,467665,5,8,2,2,1,7,42.0,46.0
16,53,2004.2803780000002,4.0420000000000004e-23,1.455e+01.0491.0530,925.05570.67-.002385,1,0,P,22,477625,5,8,2,2,1,7,43.0,45.0
17,53,2004.335289,3.128e-30,4.474e+01.0580.0640,4356.78720.75-.002665,3,2,P,10,467665,5,8,2,2,1,7,19.0,21.0
18,52,2004.4780739999999,7.912000000000001e-26,2.932e+01.0535.0580,2652.95710.69-.002790,2,1,P,17,477665,5,8,2,2,1,7,66.0,70.0
19,53,2005.0198030000001,1.8359999999999996e-26,2.934e+01.0542.0590,2585.31370.70-.002863,2,1,P,16,477665,5,8,2,2,1,7,31.0,33.0
20,55,2005.608309,5.651e-28,3.175e+01.0676.0750,2078.31500.74-.003090,2,1,P,4,477663,5,8,2,2,1,1,14.0,18.0
21,54,2005.6271420000003,7.053999999999998e-28,2.950e+01.0500.0540,2973.04410.67-.003630,2,1,P,21,477623,5,8,2,2,1,1,246.0,258.0
22,54,2006.0704690000002,2.195e-31,4.461e+01.0549.0600,4648.11140.71-.002800,3,2,P,15,467665,5,8,2,2,1,7,174.0,186.0
23,51,2006.7836120000002,2.098e-25,2.982e+01.0464.0480,3477.58510.67-.003500,2,1,P,26,477623,5,8,2,2,1,1,51.0,53.0
24,56,2006.940184,1.108e-28,2.965e+01.0580.0640,2263.49320.75-.003570,2,1,P,10,477663,5,8,2,2,1,1,228.0,252.0
25,55,2007.4204510000002,6.789e-24,1.468e+01.0580.0640,192.04380.75-.003570,1,0,P,10,477663,5,8,2,2,1,1,38.0,42.0
26,56,2007.5071030000001,5.0110000000000005e-25,1.457e+01.0542.0590,486.32410.70-.003290,1,0,P,16,477663,5,8,2,2,1,1,372.0,396.0
27,52,2007.876719,2.243e-22,1.466e+01.0491.0530,928.58230.67-.002385,1,0,P,22,477625,5,8,2,2,1,7,86.0,90.0
28,52,2007.9442350000002,1.694e-29,4.506e+01.0580.0640,4365.32960.75-.002665,3,2,P,10,467665,5,8,2,2,1,7,38.0,42.0
29,53,2008.2189039999998,3.359e-30,4.526e+01.0589.0660,4320.84040.75-.002610,3,2,P,9,467665,5,8,2,2,1,7,17.0,19.0
30,54,2008.310001,1.401e-24,1.477e+01.0464.0480,1312.65810.67-.003500,1,0,P,26,477623,5,8,2,2,1,1,306.0,318.0
31,51,2008.421529,1.149e-28,4.499e+01.0510.0550,5051.74320.67-.002867,3,2,P,20,467665,5,8,2,2,1,7,39.0,41.0
32,51,2008.525448,2.6689999999999997e-22,1.493e+01.0436.0430,1901.13080.67-.003500,1,0,P,31,476623,5,8,2,2,1,1,61.0,63.0
33,53,2008.594687,5.712e-23,1.466e+01.0500.0540,844.72880.67-.003217,1,0,P,21,477625,5,8,2,2,1,7,41.0,43.0
34,52,2008.6264640000002,1.008e-25,2.955e+01.0542.0590,2591.13210.70-.002863,2,1,P,16,477665,5,8,2,2,1,7,62.0,66.0
35,53,2009.1211489999998,2.286e-26,2.958e+01.0549.0600,2527.33370.71-.002800,2,1,P,15,477665,5,8,2,2,1,7,29.0,31.0
36,55,2009.1609670000003,4.5419999999999995e-28,3.352e+01.0709.0790,2064.46620.74-.002030,2,1,P,3,477663,5,8,2,2,1,1,10.0,14.0
37,54,2009.985723,9.825e-28,2.972e+01.0510.0550,2895.26030.67-.003050,2,1,P,20,477663,5,8,2,2,1,1,234.0,246.0
38,54,2010.207877,2.6829999999999997e-31,4.499e+01.0555.0610,4592.98150.72-.002778,3,2,P,14,467665,5,8,2,2,1,7,162.0,174.0
39,56,2010.764619,1.187e-28,3.000e+01.0589.0660,2228.04080.75-.003590,2,1,P,9,477663,5,8,2,2,1,1,204.0,228.0
40,55,2011.1804719999998,7.254e-24,1.485e+01.0589.0660,157.13580.75-.003590,1,0,P,9,477663,5,8,2,2,1,1,34.0,38.0
41,51,2011.421043,3.266e-25,3.005e+01.0469.0500,3378.95370.67-.003500,2,1,P,25,477623,5,8,2,2,1,1,49.0,51.0
42,56,2011.5419969999998,6.215000000000001e-25,1.469e+01.0549.0600,429.15020.71-.003260,1,0,P,15,477663,5,8,2,2,1,1,348.0,372.0
43,52,2011.843095,1.82e-29,4.559e+01.0589.0660,4329.24690.75-.002610,3,2,P,9,467665,5,8,2,2,1,7,34.0,38.0
44,53,2012.071192,3.501e-30,4.586e+01.0599.0670,4288.48450.75-.002540,3,2,P,8,467665,5,8,2,2,1,7,15.0,17.0
45,52,2012.2086989999998,3.175e-22,1.477e+01.0500.0540,847.94970.67-.003217,1,0,P,21,477625,5,8,2,2,1,7,82.0,86.0
46,55,2012.683693,3.191e-28,3.745e+01.0748.0820,2054.07920.75-.002660,2,1,P,2,477663,5,8,2,2,1,1,6.0,10.0
47,52,2012.7442850000002,1.256e-25,2.980e+01.0549.0600,2532.93210.71-.002800,2,1,P,15,477665,5,8,2,2,1,7,58.0,62.0
48,51,2012.8336829999998,1.5769999999999999e-28,4.534e+01.0519.0560,4976.43800.67-.002825,3,2,P,19,467665,5,8,2,2,1,7,37.0,39.0
49,54,2012.8547030000002,2.164e-24,1.488e+01.0469.0500,1215.62040.67-.003500,1,0,P,25,477623,5,8,2,2,1,1,294.0,306.0
50,53,2012.879261,7.914e-23,1.477e+01.0510.0550,768.03310.67-.002867,1,0,P,20,477665,5,8,2,2,1,7,39.0,41.0
51,53,2013.191963,2.785e-26,2.983e+01.0555.0610,2472.96720.72-.002778,2,1,P,14,477665,5,8,2,2,1,7,27.0,29.0
52,51,2013.352446,4.604e-22,1.505e+01.0441.0430,1782.66240.67-.003500,1,0,P,30,486623,5,8,2,2,1,1,59.0,61.0
53,54,2014.3134100000002,1.3410000000000001e-27,2.995e+01.0519.0560,2821.16140.67-.003410,2,1,P,19,477663,5,8,2,2,1,1,222.0,234.0
54,54,2014.3135559999998,3.206e-31,4.539e+01.0561.0610,4541.51740.73-.002718,3,2,P,13,467665,5,8,2,2,1,7,150.0,162.0
55,56,2014.558776,1.234e-28,3.039e+01.0599.0670,2196.12990.75-.003580,2,1,P,8,477663,5,8,2,2,1,1,180.0,204.0
56,55,2014.911286,7.527e-24,1.504e+01.0599.0670,125.71520.75-.003580,1,0,P,8,477663,5,8,2,2,1,1,30.0,34.0
57,56,2015.5473719999998,7.543e-25,1.481e+01.0555.0610,375.53980.72-.003350,1,0,P,14,477663,5,8,2,2,1,1,324.0,348.0
58,52,2015.71045,1.8979999999999998e-29,4.619e+01.0599.0670,4296.76860.75-.002540,3,2,P,8,467665,5,8,2,2,1,7,30.0,34.0
59,53,2015.892021,3.53e-30,4.656e+01.0612.0690,4259.72060.75-.002472,3,2,P,7,467665,5,8,2,2,1,7,13.0,15.0
60,51,2016.027134,4.982e-25,3.027e+01.0475.0510,3284.08460.67-.003500,2,1,P,24,477623,5,8,2,2,1,1,47.0,49.0
61,55,2016.176366,1.6530000000000002e-28,5.647e+01.0797.0860,2047.15430.76-.003010,2,1,P,1,477663,5,8,2,2,1,1,2.0,6.0
62,52,2016.510779,4.403999999999999e-22,1.488e+01.0510.0550,770.96190.67-.002867,1,0,P,20,477665,5,8,2,2,1,7,78.0,82.0
63,52,2016.831404,1.5310000000000003e-25,3.005e+01.0555.0610,2478.35910.72-.002778,2,1,P,14,477665,5,8,2,2,1,7,54.0,58.0
64,53,2017.133966,1.075e-22,1.488e+01.0519.0560,694.97140.67-.002825,1,0,P,19,477665,5,8,2,2,1,7,37.0,39.0
65,51,2017.213621,2.119e-28,4.570e+01.0527.0570,4904.87990.68-.002855,3,2,P,18,467665,5,8,2,2,1,7,35.0,37.0
66,53,2017.2321129999998,3.316e-26,3.010e+01.0561.0610,2422.21600.73-.002718,2,1,P,13,477665,5,8,2,2,1,7,25.0,27.0
67,54,2017.3692030000002,3.2769999999999994e-24,1.499e+01.0475.0510,1122.28540.67-.003500,1,0,P,24,477623,5,8,2,2,1,1,282.0,294.0
68,51,2018.14883,7.788999999999999e-22,1.516e+01.0446.0450,1667.97090.67-.003500,1,0,P,29,486623,5,8,2,2,1,1,57.0,59.0
69,56,2018.322527,1.2420000000000003e-28,3.086e+01.0612.0690,2167.76180.75-.003490,2,1,P,7,477663,5,8,2,2,1,1,156.0,180.0
70,54,2018.387369,3.7409999999999994e-31,4.582e+01.0567.0620,4493.72130.74-.002750,3,2,P,12,467665,5,8,2,2,1,7,138.0,150.0
71,54,2018.6100609999999,1.792e-27,3.019e+01.0527.0570,2750.75030.68-.003500,2,1,P,18,477663,5,8,2,2,1,1,210.0,222.0
72,55,2018.612772,7.557999999999999e-24,1.527e+01.0612.0690,97.78300.75-.003490,1,0,P,7,477663,5,8,2,2,1,1,26.0,30.0
73,56,2019.5231030000002,8.95e-25,1.495e+01.0561.0610,325.49480.73-.003510,1,0,P,13,477663,5,8,2,2,1,1,300.0,324.0
74,52,2019.5461670000002,1.915e-29,4.690e+01.0612.0690,4267.89590.75-.002472,3,2,P,7,467665,5,8,2,2,1,7,26.0,30.0
75,53,2019.681257,3.426e-30,4.743e+01.0629.0700,4234.54990.74-.002358,3,2,P,6,467665,5,8,2,2,1,7,11.0,13.0
76,51,2020.6017379999998,7.449e-25,3.050e+01.0483.0520,3192.98150.67-.002980,2,1,P,23,477623,5,8,2,2,1,1,45.0,47.0
77,52,2020.782823,5.987999999999999e-22,1.499e+01.0519.0560,697.62190.67-.002825,1,0,P,19,477665,5,8,2,2,1,7,74.0,78.0
78,52,2020.887686,1.825e-25,3.032e+01.0561.0610,2427.41530.73-.002718,2,1,P,13,477665,5,8,2,2,1,7,50.0,54.0
79,53,2021.241466,3.8560000000000004e-26,3.038e+01.0567.0620,2375.08220.74-.002750,2,1,P,12,477665,5,8,2,2,1,7,23.0,25.0
80,53,2021.3586699999998,1.43e-22,1.500e+01.0527.0570,625.54630.68-.002855,1,0,P,18,477665,5,8,2,2,1,7,35.0,37.0
81,51,2021.5611989999998,2.7879999999999997e-28,4.606e+01.0535.0580,4837.07170.69-.002790,3,2,P,17,467665,5,8,2,2,1,7,33.0,35.0
82,54,2021.853362,4.8650000000000004e-24,1.510e+01.0483.0520,1032.65650.67-.002980,1,0,P,23,477623,5,8,2,2,1,1,270.0,282.0
83,56,2022.055745,1.204e-28,3.144e+01.0629.0700,2142.93750.74-.003440,2,1,P,6,477663,5,8,2,2,1,1,132.0,156.0
84,55,2022.284809,7.31e-24,1.556e+01.0629.0700,73.34020.74-.003440,1,0,P,6,477663,5,8,2,2,1,1,22.0,26.0
85,54,2022.429175,4.257e-31,4.627e+01.0573.0630,4449.59470.75-.002700,3,2,P,11,467665,5,8,2,2,1,7,126.0,138.0
86,54,2022.8755390000001,2.346e-27,3.043e+01.0535.0580,2684.02950.69-.003350,2,1,P,17,477663,5,8,2,2,1,1,198.0,210.0
87,51,2022.914455,1.292e-21,1.527e+01.0451.0460,1557.06070.67-.003500,1,0,P,28,486623,5,8,2,2,1,1,55.0,57.0
88,55,2023.071067,1.6869999999999997e-28,1.902e+01.0797.0860,2043.69180.76-.002100,2,1,R,0,477663,5,8,2,2,1,1,6.0,2.0
89,52,2023.350111,1.8589999999999998e-29,4.778e+01.0629.0700,4242.63000.74-.002358,3,2,P,6,467665,5,8,2,2,1,7,22.0,26.0
90,53,2023.438766,3.176e-30,4.858e+01.0650.0730,4212.97330.74-.002177,3,2,P,5,467665,5,8,2,2,1,7,9.0,11.0
91,56,2023.4690620000001,1.0380000000000002e-24,1.508e+01.0567.0620,279.01700.74-.003410,1,0,P,12,477663,5,8,2,2,1,1,276.0,300.0
92,52,2024.912998,2.125e-25,3.060e+01.0567.0620,2380.10250.74-.002750,2,1,P,12,477665,5,8,2,2,1,7,46.0,50.0
93,52,2025.0246989999998,7.977e-22,1.511e+01.0527.0570,627.93240.68-.002855,1,0,P,18,477665,5,8,2,2,1,7,70.0,74.0
94,51,2025.144711,1.092e-24,3.073e+01.0491.0530,3105.64790.67-.003350,2,1,P,22,477623,5,8,2,2,1,1,43.0,45.0
95,53,2025.2198899999999,4.376e-26,3.068e+01.0573.0630,2331.56740.75-.002700,2,1,P,11,477665,5,8,2,2,1,7,21.0,23.0
96,53,2025.553241,1.8630000000000001e-22,1.511e+01.0535.0580,559.76050.69-.002790,1,0,P,17,477665,5,8,2,2,1,7,33.0,35.0
97,56,2025.758302,1.114e-28,3.220e+01.0650.0730,2121.65780.74-.003310,2,1,P,5,477663,5,8,2,2,1,1,108.0,132.0
98,51,2025.876269,3.5899999999999997e-28,4.644e+01.0542.0590,4773.01610.70-.002863,3,2,P,16,467665,5,8,2,2,1,7,31.0,33.0
99,55,2025.927275,6.757000000000001e-24,1.593e+01.0650.0730,52.38770.74-.003310,1,0,P,5,477663,5,8,2,2,1,1,18.0,22.0
100,54,2026.307041,7.081e-24,1.521e+01.0491.0530,946.73700.67-.003350,1,0,P,22,477623,5,8,2,2,1,1,258.0,270.0
101,54,2026.4388350000002,4.721e-31,4.677e+01.0580.0640,4409.13950.75-.002665,3,2,P,10,467665,5,8,2,2,1,7,114.0,126.0
102,55,2026.4728539999999,3.324e-28,2.295e+01.0748.0820,2047.15430.75-.002400,2,1,R,1,477663,5,8,2,2,1,1,10.0,6.0
103,54,2027.109705,3.0049999999999995e-27,3.067e+01.0542.0590,2621.00170.70-.003290,2,1,P,16,477663,5,8,2,2,1,1,186.0,198.0
104,52,2027.1221480000002,1.725e-29,4.894e+01.0650.0730,4220.97180.74-.002177,3,2,P,5,467665,5,8,2,2,1,7,18.0,22.0
