,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,222,2000.444418,2.2499999999999998e-35,9.337e-06.0273.0270,2552.73680.200.000000,1,0,O,36q,344440,4,3,2,1,1,0,2628.0,2628.0
1,221,2001.688548,1.6709999999999998e-34,3.506e-09.0273.0270,3089.80750.200.000000,1,0,O,39q,344440,4,3,2,1,1,0,225.0,237.0
2,221,2002.505259,7.706e-38,7.313e-09.0273.0270,4946.71520.200.000000,2,1,O,36q,344440,4,3,2,1,1,0,414.0,438.0
3,222,2009.1056449999999,4.356e-35,9.410e-06.0273.0270,2415.23710.200.000000,1,0,O,35q,344440,4,3,2,1,1,0,2556.0,2556.0
4,221,2010.73595,7.023999999999999e-34,3.616e-09.0273.0270,2935.97920.200.000000,1,0,O,38q,344440,4,3,2,1,1,0,438.0,462.0
5,221,2011.4119739999999,7.585999999999999e-38,7.541e-09.0273.0270,4805.78700.200.000000,2,1,O,35q,344440,4,3,2,1,1,0,201.0,213.0
6,222,2017.742571,8.269999999999999e-35,9.483e-06.0273.0270,2281.50340.200.000000,1,0,O,34q,344440,4,3,2,1,1,0,2484.0,2484.0
7,221,2019.758725,7.237e-34,3.730e-09.0273.0270,2786.02830.200.000000,1,0,O,37q,344440,4,3,2,1,1,0,213.0,225.0
8,221,2020.293175,2.929e-37,7.775e-09.0273.0270,4668.71660.200.000000,2,1,O,34q,344440,4,3,2,1,1,0,390.0,414.0
9,222,2026.35495,1.5399999999999999e-34,9.556e-06.0273.0270,2151.54030.200.000000,1,0,O,33q,344440,4,3,2,1,1,0,2412.0,2412.0
10,221,2028.7566120000001,2.924e-33,3.846e-09.0273.0270,2639.96000.200.000000,1,0,O,36q,344440,4,3,2,1,1,0,414.0,438.0
11,221,2029.1485969999999,2.771e-37,8.014e-09.0273.0270,4535.50860.200.000000,2,1,O,33q,344440,4,3,2,1,1,0,189.0,201.0
12,222,2034.942534,2.814e-34,9.629e-06.0273.0270,2025.35250.200.000000,1,0,O,32q,344440,4,3,2,1,1,0,2340.0,2340.0
13,221,2037.729348,2.8969999999999998e-33,3.967e-09.0273.0270,2497.77920.200.000000,1,0,O,35q,344440,4,3,2,1,1,0,201.0,213.0
